claim_id,manuscript_section,claim_text,statistic,value,source_file,source_row_or_filter,source_column,evidence_level,caveat
C01,Behavioral summary,Risky choice was descriptively higher under Full than Partial feedback.,mean risky choice,Full=0.511; Partial=0.405,risky_choice_actual_main_effects_no_blocks.csv,Variable == Feedback_Type,Mean_Risky_Chance,descriptive behavioral summary,
C02,Behavioral summary,Risky choice was descriptively higher in Reject than Accept frames.,mean risky choice,Accept=0.448; Reject=0.476,risky_choice_actual_main_effects_no_blocks.csv,Variable == Choice_Frame,Mean_Risky_Chance,descriptive behavioral summary,
C03,Behavioral summary,Repetition was descriptively higher under time pressure than no time pressure.,mean repetition,NoTP=0.538; TP=0.566,repetition_actual_main_effects_no_blocks.csv,Variable == Time_Pressure,Mean_Repetition,descriptive behavioral summary,
C04,Behavioral summary,Repetition was descriptively higher under Partial than Full feedback.,mean repetition,Full=0.504; Partial=0.609,repetition_actual_main_effects_no_blocks.csv,Variable == Feedback_Type,Mean_Repetition,descriptive behavioral summary,
C_mixed_05,Mixed-effect behavioral validation,Previous risky choice | stickiness control,"estimate, 95% CI, p-value","estimate=0.204; 95% CI [0.080, 0.328]; p=0.00125; significant=True",nonstickiness_pattern_analysis/results/tables/nonstickiness_effect_summary.csv,analysis == Previous risky choice | stickiness control,estimate/conf_low/conf_high/p_value/significant,mixed-effect / GLMM behavioral inference,
C_mixed_06,Mixed-effect behavioral validation,Full - Partial | relative uncertainty slope,"estimate, 95% CI, p-value","estimate=-8.084; 95% CI [-13.231, -2.936]; p=0.00209; significant=True",nonstickiness_pattern_analysis/results/tables/nonstickiness_effect_summary.csv,analysis == Full - Partial | relative uncertainty slope,estimate/conf_low/conf_high/p_value/significant,mixed-effect / GLMM behavioral inference,
C_mixed_07,Mixed-effect behavioral validation,Accept - Reject | risky-choice bias,"estimate, 95% CI, p-value","estimate=-0.053; 95% CI [-0.091, -0.016]; p=0.00521; significant=True",nonstickiness_pattern_analysis/results/tables/nonstickiness_effect_summary.csv,analysis == Accept - Reject | risky-choice bias,estimate/conf_low/conf_high/p_value/significant,mixed-effect / GLMM behavioral inference,
C_mixed_08,Mixed-effect behavioral validation,Full feedback counterfactual regret predicts next switch,"estimate, 95% CI, p-value","estimate=0.408; 95% CI [0.140, 0.677]; p=0.00289; significant=True",nonstickiness_pattern_analysis/results/tables/nonstickiness_effect_summary.csv,analysis == Full feedback counterfactual regret predicts next switch,estimate/conf_low/conf_high/p_value/significant,mixed-effect / GLMM behavioral inference,
C_mixed_09,Mixed-effect behavioral validation,Switch after regret/loss,"estimate, 95% CI, p-value","estimate=0.428; 95% CI [0.378, 0.478]; p=1.51e-62; significant=True",nonstickiness_pattern_analysis/results/tables/nonstickiness_effect_summary.csv,analysis == Switch after regret/loss,estimate/conf_low/conf_high/p_value/significant,mixed-effect / GLMM behavioral inference,
C_mixed_10,Mixed-effect behavioral validation,Partial feedback early-phase RU slope,"estimate, 95% CI, p-value","estimate=0.253; 95% CI [0.203, 0.303]; p=6.02e-23; significant=True",nonstickiness_pattern_analysis/results/tables/nonstickiness_effect_summary.csv,analysis == Partial feedback early-phase RU slope,estimate/conf_low/conf_high/p_value/significant,mixed-effect / GLMM behavioral inference,
C_model_01,Three-model comparison,Model B improved same-data top-1 accuracy relative to the Original BMT benchmark.,weighted top-1,Original BMT=0.642; Model B=0.686,three_new_models_vs_old_delta3_non4060/results/tables/overall_ranking_with_feedbackaware_wsls.csv,"model_id in {old_original_benchmark, modelB_decay}",top1_weighted,same-data model comparison,Same-data posterior-mean accuracy is optimistic relative to held-out validation.
C_model_02,Three-model comparison,Feedback-aware WSLS performed below Model B but above the original BMT benchmark.,weighted top-1,WSLS=0.653; Model B=0.686; Original BMT=0.642,three_new_models_vs_old_delta3_non4060/results/tables/overall_ranking_with_feedbackaware_wsls.csv,"model_id in {noisy_wsls_feedbackaware, modelB_decay, old_original_benchmark}",top1_weighted,same-data model comparison,WSLS uses fewer mechanisms and is interpreted as a strategy model.
C_bmt_gamma_Time_Pressure,BMT parameter contrasts,The BMT-family integrated softmax model estimated a time pressure contrast for gamma; the 95% HDI excluded zero.,posterior mean difference and 95% HDI,"diff=0.141; 95% HDI [0.082, 0.200]; crosses_zero=False",initial_model_integrated_factors/results/tables/integrated_main_effects_contrasts.csv,parameter == gamma; effect == Time Pressure,diff_mean/diff_hdi95_lo/diff_hdi95_hi/hdi95_crosses_zero,Bayesian posterior contrast,Main-effects integrated model; task-specific heterogeneity is not fully represented.
C_bmt_gamma_Feedback,BMT parameter contrasts,The BMT-family integrated softmax model estimated a feedback contrast for gamma; the 95% HDI excluded zero.,posterior mean difference and 95% HDI,"diff=-0.352; 95% HDI [-0.544, -0.156]; crosses_zero=False",initial_model_integrated_factors/results/tables/integrated_main_effects_contrasts.csv,parameter == gamma; effect == Feedback,diff_mean/diff_hdi95_lo/diff_hdi95_hi/hdi95_crosses_zero,Bayesian posterior contrast,Main-effects integrated model; task-specific heterogeneity is not fully represented.
C_bmt_alpha_Feedback,BMT parameter contrasts,The BMT-family integrated softmax model estimated a feedback contrast for alpha; the 95% HDI excluded zero.,posterior mean difference and 95% HDI,"diff=-1.031; 95% HDI [-1.749, -0.284]; crosses_zero=False",initial_model_integrated_factors/results/tables/integrated_main_effects_contrasts.csv,parameter == alpha; effect == Feedback,diff_mean/diff_hdi95_lo/diff_hdi95_hi/hdi95_crosses_zero,Bayesian posterior contrast,Main-effects integrated model; task-specific heterogeneity is not fully represented.
C_bmt_alpha_Choice_Frame,BMT parameter contrasts,The BMT-family integrated softmax model estimated a choice frame contrast for alpha; the 95% HDI excluded zero.,posterior mean difference and 95% HDI,"diff=0.717; 95% HDI [0.108, 1.319]; crosses_zero=False",initial_model_integrated_factors/results/tables/integrated_main_effects_contrasts.csv,parameter == alpha; effect == Choice Frame,diff_mean/diff_hdi95_lo/diff_hdi95_hi/hdi95_crosses_zero,Bayesian posterior contrast,Main-effects integrated model; task-specific heterogeneity is not fully represented.
C_bmt_beta_Feedback,BMT parameter contrasts,The BMT-family integrated softmax model estimated a feedback contrast for beta; the 95% HDI excluded zero.,posterior mean difference and 95% HDI,"diff=-1.228; 95% HDI [-2.109, -0.346]; crosses_zero=False",initial_model_integrated_factors/results/tables/integrated_main_effects_contrasts.csv,parameter == beta; effect == Feedback,diff_mean/diff_hdi95_lo/diff_hdi95_hi/hdi95_crosses_zero,Bayesian posterior contrast,Main-effects integrated model; task-specific heterogeneity is not fully represented.
C_wsls_01,Feedback-aware WSLS,The feedback-aware WSLS model estimated lower win-stay probability under Full than Partial feedback.,posterior probability difference,Full=0.600; Partial=0.700; diff=-0.100,noisy_wsls_feedbackaware_non4060/results/tables/feedback_condition_probabilities_noisy_wsls_feedbackaware_non4060.csv,"p_win_stay_full, p_win_stay_partial, diff_win_stay_full_minus_partial",mean/hdi95_low/hdi95_high,Bayesian WSLS,Feedback-aware win/loss coding differs by feedback condition.
C_wsls_02,Feedback-aware WSLS,The feedback-aware WSLS model estimated higher lose-shift probability under Full than Partial feedback.,posterior probability difference,Full=0.575; Partial=0.474; diff=0.100,noisy_wsls_feedbackaware_non4060/results/tables/feedback_condition_probabilities_noisy_wsls_feedbackaware_non4060.csv,"p_lose_shift_full, p_lose_shift_partial, diff_lose_shift_full_minus_partial",mean/hdi95_low/hdi95_high,Bayesian WSLS,Feedback-aware win/loss coding differs by feedback condition.
C_supp_01,Supplementary predictive validation,The GRU achieved the highest strict held-out participant accuracy among supplementary predictive models.,held-out top-1 accuracy,GRU=0.654; MLP=0.626; synthetic ModelB=0.600,neural_synthetic_bayes_analysis/results/tables/model_comparison_train_test.csv,"NN direct GRU, NN direct MLP, Bayes Model B synthetic_rep1",test_top1_accuracy,supplementary held-out predictive validation,Not central to main behavioral interpretation.
